name,market_open,lat,lng,toilet,garage
중부시장,매일,37.56506017,127.0019016,Y,N
신중부시장,매일,37.56554672,126.9994114,Y,Y
Team204,매일,37.56771738,127.0131982,Y,Y
테크노상가,매일,37.56884362,127.0132437,Y,Y
청평화시장,매일,37.5694651,127.0149417,Y,Y
제일평화시장,매일,37.56851044,127.0114021,Y,Y
벨포스트,매일,37.56814098,127.0119871,Y,Y
신평화패션타운,매일,37.56945652,127.0110704,Y,N
동평화시장,매일,37.56933911,127.0137758,Y,Y
남평화시장,매일,37.56917723,127.0108327,Y,Y
광희패션몰,매일,37.56867257,127.0119193,Y,Y
청계상가,매일,37.56797977,126.9953591,Y,Y
대림상가,매일,37.5671459,126.9954271,Y,Y
삼익패션타운,매일,37.56043619,126.9789484,Y,Y
숭례문수입상가,매일,37.5593725,126.9762097,Y,Y
남대문시장,매일,37.55918357,126.9776585,Y,N
통인시장,매일,37.5807607,126.9699423,Y,N
동문시장㈜,매일,37.57051095,127.011128,Y,N
동대문종합시장 신관(동대문쇼핑타운),매일,37.57081727,127.0080936,Y,Y
동대문종합시장D동상가,매일,37.57070019,127.0073238,Y,N
동대문종합시장,매일,37.57070019,127.0073238,Y,Y
한일상가,매일,37.57013275,127.0030223,Y,Y
종로신진시장,매일,37.57023179,127.0049467,Y,N
수암종합시장,매일,35.52750443,129.3210053,Y,N
울산번개시장,매일,35.52023662,129.3367723,Y,Y
야음상가시장,매일,35.52361147,129.3318662,Y,Y
봉선시장,매일,35.12904439,126.9100112,Y,Y
신정평화시장,매일,35.5383388,129.3035418,Y,Y
월곡시장,매일,35.17129717,126.8096437,Y,Y
(주)신정시장,매일,35.54233666,129.310282,Y,N
울산산업공구월드,매일,35.53578321,129.342636,Y,Y
세종전통시장,4일+9일,36.59978855,127.3006053,Y,Y
1913송정역시장(송정역전매일시장),매일,35.13555958,126.7915346,Y,Y
부강전통시장,5일+10일,36.52850118,127.3688876,Y,Y
세종대평시장,5일+10일,36.46727471,127.2820631,Y,Y
장미제일시장,매일,37.60518362,127.0765334,Y,N
태능엔터피아,매일,37.59926352,127.0775053,Y,Y
신아타운,매일,37.60645884,127.0947115,Y,Y
동성타워프라자,매일,37.60804247,127.0972055,Y,Y
중랑교종합상가,매일,37.59294778,127.077121,Y,Y
사가정시장,매일,37.58108117,127.0893792,N,N
면목골목시장,매일,37.57749074,127.0844409,Y,Y
면목시장,매일,37.57954367,127.0862998,Y,Y
동원시장,매일,37.58983934,127.0898896,Y,N
동원전통종합시장,매일,37.58982861,127.0921089,Y,Y
중랑동부시장(동부골목시장),매일,37.59150529,127.0784896,Y,Y
우림골목시장,매일,37.59677029,127.0982661,Y,Y
아트프라자,매일,37.56918604,127.0128249,Y,N
자유상가,매일,37.56095891,126.9797744,Y,N
황학시장,매일,37.56738265,127.0197632,N,N
우정시장,매일,35.5546219,129.3100695,Y,N
옥골시장,매일,35.55522127,129.3229683,Y,N
중앙전통시장,매일,35.55518019,129.3222945,Y,Y
웰컴시티,매일,35.5532821,129.319792,Y,Y
성남프라자,매일,35.55451452,129.3175561,Y,Y
서동시장,매일,35.58134597,129.3469851,Y,N
반구시장,매일,35.55838456,129.3434151,Y,Y
신울산종합시장,매일,35.56123791,129.3373619,Y,Y
선우시장,매일,35.57119003,129.3421705,Y,Y
병영시장,매일,35.57055602,129.3462842,Y,Y
덕하시장(덕하공설시장),2일+7일,35.49170116,129.3059222,Y,Y
곡천공설시장,1일+6일,35.46589516,129.2099662,Y,Y
명덕시장,매일,35.84479169,128.5882688,Y,N
덕신1차시장,5일+10일,35.43524428,129.3093532,Y,N
덕신2차시장,5일+10일,35.42934746,129.3100214,Y,Y
언양알프스시장,2일+7일,35.5637023,129.1252974,Y,N
언양종합상가시장,매일,35.56370129,129.1256944,Y,Y
언양공설시장,2일+7일,35.56280807,129.125824,Y,Y
봉계공설시장,4일+9일,35.71338448,129.1991813,Y,Y
화봉시장(화봉종합시장),매일,35.5888166,129.3658234,Y,Y
호계공설시장,1일+6일,35.62361423,129.3557466,Y,Y
월봉시장,매일,35.4949801,129.4248453,Y,N
대송시장,매일,35.49947701,129.4212232,Y,Y
전하시장 상점가,매일,35.51378343,129.4307337,Y,Y
동울산종합시장,매일,35.50883546,129.4254273,Y,Y
남목마성시장,매일,35.54272923,129.427385,Y,Y
자유시장,매일,37.35023035,127.9486266,Y,Y
양동경열로시장,매일,35.15367146,126.900842,Y,Y
양동산업용품시장,매일,35.15117026,126.9066176,Y,Y
양동수산전통시장,매일,35.15323947,126.9016656,Y,Y
양동복개상가,매일,35.15359895,126.903926,Y,Y
북평민속시장,3일+8일,37.48246871,129.1260256,Y,Y
양동닭전길시장,매일,35.1528177,126.9039928,Y,Y
광주양동시장,매일,35.15390747,126.9025538,Y,Y
중흥시장,매일,35.1616112,126.9108534,N,N
동부시장,매일,35.1738826,126.9163398,Y,Y
운암시장,매일,35.1733763,126.8820026,Y,Y
말바우시장,2일+4일+7일+9일,35.1729756,126.9213684,Y,Y
두암시장,매일,35.17157442,126.9293831,Y,Y
남광주시장,매일,35.13929961,126.9208082,Y,Y
남광주해뜨는시장,매일,35.13896721,126.9212584,Y,Y
산수시장,매일,35.15348435,126.929739,Y,N
대인시장,매일,35.15409833,126.917243,Y,Y
밤고개자연시장(구 내덕자연시장),매일,36.66241616,127.4886473,Y,Y
무등시장,매일,35.13592608,126.8945422,Y,Y
덕산면전통시장,4일+9일,36.90858319,128.1679776,Y,Y
우산매일시장,매일,35.16218922,126.8035258,Y,Y
샘고을시장,매일,35.56288287,126.8551048,Y,Y
송정매일시장,매일,35.13745243,126.7968406,Y,Y
송정5일시장,3일+8일,35.13708297,126.7969059,Y,Y
비아5일시장,1일+6일,35.22135885,126.8252669,Y,Y
죽도농산물시장,매일,36.03457995,129.3679641,Y,Y
청하시장,1일+6일,36.19707872,129.33967,Y,Y
민락회타운시장,매일,35.15555236,129.1238191,Y,Y
두류종합시장,매일,35.84548989,128.5451496,Y,Y
상원시장,매일,35.80903113,128.5512909,Y,Y
대동시장,매일,35.81166479,128.5377894,Y,Y
상인영남화성상가,매일,35.81651479,128.5425742,Y,Y
보성은하상가,매일,35.82357763,128.5342978,Y,Y
춘천동부시장,매일,37.87723546,127.7341739,Y,Y
달서송림시장,매일,35.83685925,128.5470628,Y,Y
대구예전우시장,매일,35.85853653,128.5620298,Y,N
신내당시장,매일,35.85461519,128.5538543,Y,Y
서대구시장,매일,35.86059821,128.5706868,Y,Y
도원시장,매일,35.80756953,128.5367189,Y,Y
대곡시장,매일,35.80758537,128.535454,Y,Y
월성청구시장,매일,35.82752932,128.5311131,Y,Y
서남신시장,매일,35.85400583,128.5459007,Y,Y
서남시장,매일,35.85436588,128.5451779,Y,Y
대명신시장,매일,35.85774192,128.5766374,Y,Y
봉덕시장,매일,35.84571394,128.6036931,Y,Y
춘천풍물시장,2일+7일,37.86622785,127.7195853,Y,Y
영선신시장,매일,35.85230042,128.5929228,Y,Y
성당시장,매일,35.85017533,128.5729677,Y,Y
인제시장,4일+9일,38.06709944,128.1710826,Y,Y
대명시장,매일,35.85840896,128.5771586,Y,Y
남부시장,매일,35.84140021,128.5769336,Y,N
광덕시장,매일,35.83719185,128.582417,Y,N
관문시장,매일,35.83553597,128.5590519,Y,Y
관문상가시장,매일,35.836547,128.5572825,Y,Y
대명중앙시장,매일,35.83680695,128.5677124,Y,Y
복현전통신시장,매일,35.89327545,128.619193,N,N
동대구신시장,매일,35.88219175,128.6097877,Y,Y
동대구시장,매일,35.88107854,128.6090909,Y,Y
팔달신시장,매일,35.89068549,128.5659616,Y,Y
팔달시장,매일,35.88904235,128.5708569,N,N
구암시장,매일,35.926612,128.5541609,N,N
관음시장,매일,35.94492263,128.5472275,Y,N
동구시장,매일,35.87405704,128.6395727,Y,N
공항시장,매일,35.8963962,128.6382503,Y,Y
송라시장,매일,35.87448493,128.6153117,Y,Y
동대구역전시장,매일,35.87430058,128.6205438,Y,N
평화시장,매일,35.88259424,128.6193963,Y,Y
동서시장,매일,35.88820415,128.6333749,Y,N
목련시장,매일,35.86998779,128.7046656,Y,N
반야월종합시장,1일+6일,35.87240724,128.7024478,Y,Y
불로전통시장,5일+10일,35.87460697,128.688976,Y,Y
방촌시장,매일,35.88130271,128.6644257,Y,Y
화원시장,1일+6일,35.8012506,128.4997345,Y,Y
현풍백년도깨비시장,5일+10일,35.69475898,128.4422247,Y,Y
논공중앙시장,매일,35.72838389,128.4465885,Y,Y
월배신시장,매일,35.813256,128.5278755,N,N
월배시장,매일,35.81407718,128.5273978,Y,Y
성서보성화성상가,매일,35.85566206,128.5041129,Y,Y
용산종합큰시장,매일,35.85805075,128.5311686,Y,Y
성서용산시장,매일,35.85513834,128.5213714,N,Y
성서와룡시장,매일,35.85582107,128.4993227,Y,Y
월촌역시장,매일,35.8227509,128.548172,Y,Y
두류신시장,매일,35.84527773,128.5462301,N,N
수성시장,매일,35.85565541,128.6170064,Y,Y
동성시장,매일,35.85591488,128.6171376,Y,N
수성현대시장,매일,35.84946852,128.60939,Y,N
청구시장,매일,35.86482085,128.6440771,Y,Y
중평시장,매일,35.8653642,128.5539271,Y,N
신평리시장,매일,35.86809726,128.5606785,Y,Y
대평리시장,매일,35.87800549,128.5589352,Y,Y
서구시장,매일,35.87393821,128.5556896,Y,N
원대신시장,매일,35.88552266,128.5748006,Y,Y
원고개시장,매일,35.88028056,128.5682981,Y,Y
서부시장,매일,35.87331075,128.5720521,Y,Y
새길시장,매일,35.86504457,128.5715677,Y,N
중앙시장,매일,35.9216581,128.5449019,Y,Y
칠성전자주방시장,매일,35.88023823,128.6015542,Y,Y
칠성상가시장,매일,35.87561087,128.6053131,Y,Y
칠성본시장,매일,35.87551455,128.6043822,N,Y
칠성진시장,매일,35.87571704,128.6040652,Y,Y
칠성시장,매일,35.8763116,128.605428,Y,Y
삼성시장,매일,35.87781555,128.6034764,Y,N
대구청과시장,매일,35.87703471,128.6039146,Y,Y
대구능금시장,매일,35.87715081,128.6019682,Y,Y
봉평전통시장(봉평시장),2일+7일,37.61558646,128.3772728,Y,Y
서변중앙시장,2일+7일,35.92100516,128.596183,Y,N
전자상가,매일,35.90545132,128.6049864,Y,Y
전자관,매일,35.90720316,128.6070266,Y,Y
전기재료관,매일,35.90506337,128.6077144,Y,Y
섬유제품관,매일,35.90628079,128.6096663,Y,Y
산업용재관,매일,35.90497291,128.6063945,Y,Y
산격종합시장,매일,35.8986391,128.6103422,Y,N
전기조명관,매일,35.90569574,128.6082699,Y,Y
