시장명,시장유형,위도,경도,점포수,공중화장실보유여부,주차장보유여부,개설연도
마량5일시장,상설장+5일장,34.45095924,126.8165817,40,Y,Y,1979
금산수삼센타,상설장+5일장,36.10010156,127.4964497,292,Y,Y,1988
현대시장(현대상가시장),상설장,36.34891076,126.5969368,53,Y,N,1960
법동시장,상설장,36.36622183,127.4315773,66,Y,Y,2005
한민시장,상설장,36.33461781,127.3840015,240,Y,Y,1981
강화풍물시장,상설장+5일장,37.74141775,126.4928651,175,Y,Y,2007
송현시장,상설장,37.476161,126.634645,103,Y,Y,1960
무안전통시장,상설장+5일장,34.99348251,126.4724295,65,Y,Y,2016
내수전통시장,상설장+5일장,36.72627291,127.5360007,54,Y,Y,1964
연수상가,상설장,36.98746934,127.9315787,200,N,Y,1997
안면도수산시장(안면도장터),상설장,36.51635222,126.3460071,42,Y,Y,1955
신동아수산물종합시장,상설장,35.09671506,129.0286633,520,Y,Y,1986
해평공설시장,5일장,,,85,Y,Y,1959
학성새벽시장,상설장,35.55664606,129.3326873,170,Y,Y,1974
원주남부시장,상설장,37.34301479,127.9544052,205,Y,Y,1965
합성대로상가,상설장,35.2386927,128.5824458,33,N,N,2018
한라종합시장,상설장,36.04122465,129.3512673,29,Y,Y,2011
우이시장,상설장,37.64603946,127.020022,12,Y,N,1962
광천전통시장,상설장+5일장,36.4998307,126.6252434,171,Y,Y,1926
박달재전통시장,상설장+5일장,37.13821118,128.022559,45,Y,Y,2012
백련시장,상설장,37.57700937,126.9231105,68,Y,Y,1993
신원시장,상설장,37.48206454,126.9273799,118,Y,Y,1980
대명여울빛거리시장,상설장,37.45277209,126.9016513,233,Y,Y,1977
발안시장,상설장+5일장,37.13145931,126.9094512,214,Y,Y,1929
방신전통시장,상설장,37.5715068,126.8126466,91,Y,Y,1980
관악종합시장,상설장,37.4815694,126.9280588,54,Y,N,1969
양곡시장,상설장,37.65446358,126.623824,70,Y,N,2013
신기시장,상설장,37.44621321,126.6786492,130,Y,Y,1975
광희패션몰,상설장,37.56867257,127.0119193,1360,Y,Y,1979
우림골목시장,상설장,37.59677029,127.0982661,123,Y,Y,1970
목동깨비시장 (목3동시장),상설장,37.54818867,126.8652236,98,Y,Y,1970
신정제일시장,상설장,37.52084761,126.8536892,55,Y,N,1974
신응암시장,상설장,37.59390904,126.9186997,36,Y,Y,2011
계천공설시장(계천시장),5일장,34.9959861,127.8094975,35,Y,Y,1962
북천공설시장,5일장,35.1137211,127.8919908,20,Y,Y,1949
옥종공설시장,5일장,,,36,Y,Y,1953
대산공설시장,5일장,35.35283551,128.4281217,25,Y,Y,1980
칠원공설시장,5일장,35.30569015,128.5191927,19,Y,Y,1965
서상전통시장(서상시장),5일장,35.67988159,127.6884879,6,Y,Y,2006
가야시장,5일장,35.76024552,128.1383663,48,Y,Y,1942
야로시장,5일장,35.70612649,128.168565,32,Y,Y,1939
곡천공설시장,5일장,35.46589516,129.2099662,,Y,Y,1932
대정오일시장,5일장,33.22061006,126.2482168,198,Y,Y,1983
서귀포향토오일시장,5일장,33.26778949,126.5737419,572,Y,Y,1995
중문오일시장,5일장,33.25058008,126.4239435,67,Y,Y,1965
