name,category,lat,lng,forest_house,heal_house,forest_heal,glamping,deck_site,camp_site
축령산자연휴양림,공유림,37.75476804,127.313253,○,○,○,,○,
대운산자연휴양림,공유림,35.41785462,129.2088998,○,○,,,○,
춘천숲자연휴양림,공유림,37.747732,127.742503,○,○,○,○,,○
남해편백자연휴양림,국유림,34.75216391,128.0201316,○,,,,,
자굴산 자연휴양림,공유림,35.37763031,128.208971,○,,,,,○
안동호반자연휴양림,공유림,36.70343807,128.8288547,○,○,○,,,
팔공산금화자연휴양림,공유림,36.05171899,128.5553512,○,○,,,○,
금원산자연휴양림(거창),공유림,35.72617571,127.795727,○,○,,,,
산삼자연휴양림(함양),공유림,35.69762459,127.6584297,○,○,,,,
대봉산자연휴양림(함양),공유림,35.57794015,127.7150289,○,○,,,,
용추자연휴양림(함양),공유림,35.69613134,127.7578619,○,○,,,,
한방자연휴양림(산청),공유림,35.43403584,127.8236808,○,○,,,,
주작산자연휴양림,공유림,34.5172932,126.6989685,○,○,,,,
화원자연휴양림,공유림,35.771792,128.536739,○,○,,,,
비슬산자연휴양림,공유림,35.690011,128.512902,○,,,,,○
강화자연휴양림,사유림,37.71482669,126.453883,○,,,,,
강화군 석모도자연휴양림,공유림,37.69964049,126.3154384,○,○,,,,
칠갑산자연휴양림,공유림,36.431589,126.8438227,○,○,,,,○
강릉임해자연휴양림,공유림,37.71856556,128.9985453,○,,,,,
치악산자연휴양림,공유림,37.255878,128.031372,○,,,,,
공주산림휴양마을,공유림,36.42351736,127.1187685,○,○,,,,○
조령산자연휴양림,공유림,36.81234006,128.0462438,○,○,,,,
오도산 자연휴양림,공유림,35.66525101,128.0528925,○,,,,○,
양촌자연휴양림,공유림,36.1572604,127.2464846,○,○,,○,,
거제자연휴양림,공유림,34.78569918,128.6259431,○,○,,,,
하동편백자연휴양림,공유림,35.18703884,127.8398597,○,○,,,,
구재봉자연휴양림(하동),공유림,35.12895794,127.7440937,○,○,,,,
화왕산자연휴양림(창녕),공유림,35.54693079,128.5673145,○,○,,,,
자굴산자연휴양림(의령),공유림,35.37763031,128.2089972,○,○,,,,
대운산자연휴양림(양산),공유림,35.41785462,129.2088998,○,○,,,,
거제자연휴양림(거제),공유림,34.78569918,128.6259431,○,○,,,,
도래재자연휴양림(밀양),공유림,35.55632931,128.9390583,○,○,,,,
송이밸리자연휴양림,공유림,38.05400667,128.6214924,,,,,,
항노화자연휴양림(항노화힐링랜드),공유림,35.73662049,128.0408983,○,○,,,,
사천 케이블카 자연휴양림,공유림,34.95001993,128.0612733,○,○,,,,○
장흥 자연휴양림,사유림,37.75816692,126.9685293,,,,,,
아세안자연휴양림,국유림,37.77382293,126.9421758,○,,,,,
바라산자연휴양림,공유림,37.37310185,127.0193147,○,○,,,,
변산자연휴양림,국유림,35.582878,126.523728,○,○,,,,
산수유자연휴양림,공유림,35.299331,127.462969,,,,,,
한천자연휴양림,공유림,34.98834125,127.0454803,,,,,,
평창자연휴양림,공유림,37.609548,128.303521,,,,,,
하동편백자연휴양림,공유림,35.18703884,127.8398597,○,,,○,,○
구재봉자연휴양림,공유림,35.12895794,127.7440937,○,○,,,○,○
중산자연휴양림(산청),사유림,35.2886177,127.7507425,○,○,,,,
덕원자연휴양림(하동),사유림,35.22915471,127.8552761,○,○,,,,
원동자연휴양림(양산),사유림,35.39881801,128.9348445,,,,,,
지리산자연휴양림(함양),국유림,35.34644465,127.6430043,○,○,,,,
남해편백자연휴양림(남해),국유림,34.75216391,128.0201321,○,○,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,○,○,○,○,○,
,,,,,,,,,
,,,,○,○,,,,○
,,,,,,,,,
,,,,○,○,,,,
,,,,○,○,○,,,○
,,,,,,,,,
,,,,,,,,,
,,,,○,,,,,
,,,,,○,,,,
,,,,○,,,,,
,,,,,○,○,,,○
,,,,○,○,,,,
,,,,○,○,,,,
,,,,,,,,,
,,,,○,○,○,,○,
,,,,○,○,,,,
,,,,○,○,,,,○
,,,,○,,,,,
,,,,○,○,,,,
,,,,○,○,,,,○
,,,,,,,,,
,,,,,,,,,
,,,,○,○,,,,
,,,,○,,,,,
,,,,○,,,,,○
,,,,○,,,,,○
,,,,,○,,,,
,,,,,,,,,
,,,,,,,,,○
,,,,○,,,,,
,,,,,,,,,
,,,,○,,,,,○
,,,,,○,○,,,
,,,,○,,,,,○
,,,,,,,,,
,,,,,○,○,,,
,,,,○,○,○,,,
,,,,,,,,,
,,,,○,,,,,○
,,,,,○,○,,,
,,,,,○,,,,
,,,,,,,,,
,,,,,,,,,
,,,,○,○,,,,
,,,,,,,,,○
,,,,○,,,,,○
,,,,○,,,,,○
,,,,○,,,,,
,,,,○,,,○,,
,,,,○,,,,,○
,,,,,○,,,,○
,,,,,,,,,
,,,,,○,○,,,
,,,,○,○,,,,
,,,,○,,,,,
,,,,,,,,,○
,,,,○,,,,,○
,,,,○,○,,,,
,,,,○,○,,,,
,,,,○,○,,,,
,,,,,,,,,○
,,,,,,,,○,○
,,,,,○,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,○,○,○,,,
,,,,○,○,○,,,
,,,,,,,,,
,,,,○,○,○,,,
,,,,,○,,,,
,,,,○,○,,,,○
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,○
,,,,,○,,,,○
,,,,,,,,,
,,,,○,,,,,
,,,,○,○,,,,
,,,,○,○,○,,,
,,,,○,○,○,,○,
,,,,○,○,○,,,○
,,,,○,○,,,,
,,,,○,○,,,,
,,,,○,○,,,,
,,,,○,○,,,,
,,,,○,○,,,,○
,,,,,○,○,,,
,,,,,○,,,,○
,,,,,,,,,
,,,,○,○,,,,○
,,,,○,○,,,○,
,,,,○,○,○,,,○
,,,,,,,,,
,,,,○,,,,○,
,,,,○,○,○,,○,
,,,,,○,○,,○,
,,,,○,○,,,,
,,,,,○,,,,○
,,,,○,○,,,,
,,,,○,,,,,
,,,,○,○,,,,
,,,,○,,,,○,
,,,,○,,,,,○
,,,,,○,○,,,○
,,,,,○,,,,
,,,,○,○,○,,,
,,,,,,,,,
,,,,○,○,○,,○,
,,,,○,○,,,○,
,,,,○,○,,,,
,,,,○,○,,,,○
,,,,○,○,,,,
,,,,○,○,,,○,
,,,,○,,,,○,
,,,,○,○,,,,
,,,,○,○,,,,
,,,,○,○,○,,,
,,,,○,○,○,,○,
,,,,○,○,,,○,
,,,,○,○,○,○,,○
,,,,○,,,,,
,,,,,,,,,○
,,,,○,○,○,,,
,,,,○,○,,,○,
,,,,○,○,,,,
,,,,○,○,,,,
,,,,○,,,,,○
,,,,○,,,,,
,,,,,○,,,,
,,,,,○,,,,○
,,,,○,,,,,
,,,,○,,,,,
,,,,○,○,,,,○
,,,,○,○,,,,
,,,,○,,,,○,
,,,,○,○,,○,,
,,,,,,,,,
,,,,○,○,,,,○
,,,,,,,,,
,,,,○,,,,,
,,,,○,○,,,,
,,,,○,○,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,○,,,○,,○
,,,,○,○,,,○,○
